Postcode,Zone
AB,16
AL,1
B,6
BA,5E
BB,7E
BD,11
BD23,10
BD24,10
BH,3
BL,7E
BN,2
BR,2
BS,5E
BT,21
CA,8E
CB,12
CF,5W
CH,7E
CH5,7W
CH6,7W
CH7,7W
CH8,7W
CM,12
CM21,1
CM22,1
CM23,1
CO,12
CR,1
CT,2
CV,6
CW,7E
DA,2
DD,15
DE,6
DG,8S
DH,10
DH4,9E
DH5,9E
DL,10
DN,11
DT,3
DY,6
E,1
EC,1
EH,15
EH43,9S
EH44,9S
EH45,9S
EH46,9S
EN,1
EN9,12
EX,4
FK,14
FY,7E
G,14
GL,5E
GU,1
GU11,3
GU12,3
GU14,3
GU28,2
GU29,2
GU30,3
GU31,3
GU32,3
GU33,3
GU34,3
GU35,3
GU46,3
GU51,3
GU52,3
HA,1
HD,11
HG,10
HP,1
HR,6
HS,18
HU,11
HX,11
IG,12
IP,12
IV,17
IV30,16
IV31,16
IV32,16
IV36,16
KA,14
KT,1
KW,17
KW15,19
KW16,19
KW17,19
KY,15
L,7E
LA,7E
LA7,8E
LA8,8E
LA9,8E
LA10,8E
LA11,8E
LA12,8E
LA13,8E
LA14,8E
LA15,8E
LA16,8E
LA17,8E
LA18,8E
LA19,8E
LA20,8E
LA21,8E
LA22,8E
LA23,8E
LD,13
LE,6
LL,7W
LL23,13
LL24,13
LL25,13
LL26,13
LL27,13
LL30,13
LL31,13
LL32,13
LL33,13
LL34,13
LL35,13
LL36,13
LL37,13
LL38,13
LL39,13
LL40,13
LL41,13
LL42,13
LL43,13
LL44,13
LL45,13
LL46,13
LL47,13
LL48,13
LL49,13
LL50,13
LL51,13
LL52,13
LL53,13
LL54,13
LL55,13
LL56,13
LL57,13
LL58,13
LL59,13
LL60,13
LL61,13
LL62,13
LL63,13
LL64,13
LL65,13
LL66,13
LL67,13
LL68,13
LL69,13
LL70,13
LL71,13
LL72,13
LL73,13
LL74,13
LL75,13
LL76,13
LL77,13
LL78,13
LN,11
LS,11
LS24,10
LU,1
M,7E
ME,2
MK,1
ML,14
N,1
NE,9E
NG,11
NN,6
NP,5W
NPS,13
NR,12
NW,1
OL,7E
OX,1
PA,14
PE,12
PE9,11
P210,11
PE20,11
PE21,11
PE22,11
PE23,11
PE24,11
PE25,11
PH,15
PH19,17
PH20,17
PH21,17
PH22,17
PH23,17
PH24,17
PH25,17
PH26,16
PH30,17
PH31,17
PH32,17
PH33,17
PH34,17
PH35,17
PH36,17
PH37,17
PH38,17
PH39,17
PH40,17
PH41,17
PH42,17
PH43,17
PH44,17
PH49,14
PH50,14
PL,4
PO,3
PO18,2
PO19,2
PO20,2
PO21,2
PO22,2
PR,7E
PG,1
PG21,3
PG22,3
PG23,3
PG24,3
PG25,3
PG26,3
PG27,3
PG28,3
PG29,3
RH,1
RH10,2
RH11,2
RH12,2
RH13,2
RH14,2
RH15,2
RH16,2
RH17,2
RH18,2
RH19,2
RH20,2
RH77,2
RM,12
S,11
S18,6
S32,6
S33,6
S40,6
S41,6
S42,6
S43,6
S44,6
S45,6
S49,6
SA,5W
SA14,13
SA15,13
SA16,13
SA17,13
SA18,13
SA19,13
SA20,13
SA31,13
SA32,13
SA33,13
SA34,13
SA35,13
SA36,13
SA37,13
SA38,13
SA39,13
SA40,13
SA41,13
SA42,13
SA43,13
SA44,13
SA45,13
SA46,13
SA47,13
SA48,13
SA61,13
SA62,13
SA63,13
SA64,13
SA65,13
SA66,13
SA67,13
SA68,13
SA69,13
SA70,13
SA71,13
SA72,13
SA73,13
SE,1
SG,1
SK,7E
SK13,6
SK17,6
SK22,6
SK23,6
SL,1
SM,1
SN,5E
SN7,1
SO,3
SP,5E
SP6,3
SP7,3
SP8,3
SP9,3
SP10,3
SP11,3
SR,9E
SR7,10
SR8,10
SS,12
ST,6
SW,1
SY,6
SY14,7E
SY15,13
SY16,13
SY17,13
SY18,13
SY19,13
SY20,13
SY21,13
SY22,13
SY23,13
SY24,13
SY25,13
TA,5E
TD,9S
TD12,9E
TD15,9E
TF,6
TN ,2
TQ,4
TR,4
TS,10
TW,1
UB,1
W,1
WA,7E
WC,1
WD,1
WF,11
WN,7E
WR,6
WS,6
WV,6
YO,10
YO15,11
YO16,11
YO25,11
ZE,20